index,UNIQUE_ID,CURRENT_FICO_PRIM,PROP_STATE,PROP_ZIP,UNPAID_BALANCE,INTEREST_RATE,PRINCIPAL_AND_INTEREST,MI_AMT,LOAN_TYPE,LOAN_TERM,ORIGINATION_DATE,REMAINING_TERM,ORIG_HELOC_BALANCE,CURRENT_PROPERTY_VALUE,LTV,PROPERTY_TYPE,CURRENT_OCCUPANCY_TYPE,NUMBER_OF_UNITS
36917,1469204620,720,AZ,85262,230861.37,0.025,1553.62,0.0,C,180,10/07/2020,178,0.0,650000,35.52,SFH,OO,1
50038,1473142329,720,FL,32829,177412.05,0.0225,921.7,0.0,C,240,11/16/2020,239,0.0,320000,55.44,SFH,OO,1
37151,1469207243,720,TX,75248,262916.06,0.0225,1739.25,0.0,C,180,10/09/2020,178,0.0,600000,43.82,SFH,OO,1
1481,1440056693,720,OH,45150,115028.78,0.0475,625.98,0.0,C,360,06/04/2018,329,0.0,215000,53.5,SFH,OO,1
22578,1466780655,720,PA,19355,502211.29,0.0275,2767.22,0.0,C,240,07/29/2020,235,0.0,990000,50.73,SFH,OO,1
14247,1466666490,720,MA,1089,178655.31,0.02375,1228.43,0.0,C,180,06/03/2020,172,0.0,238000,75.07,SFH,OO,1
19834,1466744917,720,PA,18411,218402.09,0.02875,1543.45,0.0,C,180,07/14/2020,174,0.0,340000,64.24,SFH,OO,1
28448,1469097297,720,CT,6040,302443.66,0.0275,2090.15,0.0,C,180,09/01/2020,176,0.0,400000,75.61,SFH,OO,1
50610,1473148896,720,FL,34747,442721.22,0.0225,2914.22,0.0,C,180,11/18/2020,179,0.0,950000,46.6,SFH,OO,1
37034,1469205890,720,DC,20008,559094.35,0.03,2373.63,0.0,C,360,10/05/2020,355,0.0,860000,65.01,SFH,OO,1
30389,1469123648,720,NC,28731,174990.91,0.02375,684.03,0.0,C,360,09/11/2020,357,0.0,240000,72.91,SFH,OO,1
16513,1466695374,720,PA,19128,346740.42,0.0275,2418.66,0.0,C,180,06/22/2020,174,0.0,610000,56.84,SFH,OO,1
17047,1466702121,720,WA,98661,253700.1,0.0275,1777.99,0.0,C,180,06/25/2020,173,0.0,525000,48.32,SFH,OO,1
