index,UNIQUE_ID,CURRENT_FICO_PRIM,PROP_STATE,PROP_ZIP,UNPAID_BALANCE,INTEREST_RATE,PRINCIPAL_AND_INTEREST,MI_AMT,LOAN_TYPE,LOAN_TERM,ORIGINATION_DATE,REMAINING_TERM,ORIG_HELOC_BALANCE,CURRENT_PROPERTY_VALUE,LTV,PROPERTY_TYPE,CURRENT_OCCUPANCY_TYPE,NUMBER_OF_UNITS
45767,1473088647,720,CA,93551,293108.45,0.02875,1220.37,0.0,C,360,11/02/2020,358,0.0,480000,61.06,SFH,OO,1
16177,1466691209,720,GA,30339,357837.87,0.03625,1647.26,60.2,C,360,06/18/2020,354,0.0,445000,80.41,SFH,OO,1
28678,1469100133,720,AZ,85379,246650.17,0.02875,1164.66,0.0,C,300,09/02/2020,296,0.0,320000,77.08,SFH,OO,1
31676,1469140048,720,NC,28384,193058.67,0.0275,1330.1,0.0,C,180,09/21/2020,177,0.0,245000,78.8,SFH,OO,1
29853,1469117558,720,MI,48135,123332.32,0.0275,506.22,0.0,C,360,09/10/2020,357,0.0,155000,79.57,SFH,OO,1
43731,1473064226,720,DC,20009,307273.99,0.02875,1286.17,0.0,C,360,10/30/2020,355,0.0,1725000,17.81,SFH,OO,1
29519,1469113599,720,PA,17025,227221.56,0.0225,1188.37,0.0,C,240,09/08/2020,237,0.0,276000,82.33,SFH,OO,1
5629,1463416402,720,LA,70072,120829.96,0.0375,570.93,0.0,C,360,02/27/2020,349,0.0,156000,77.46,SFH,OO,1
47059,1473104238,720,OK,73106,338048.32,0.0275,1848.79,0.0,C,240,11/04/2020,238,0.0,500000,67.61,SFH,OO,1
38711,1469226805,720,MA,1749,206358.31,0.02625,833.42,0.0,C,360,10/15/2020,357,0.0,270000,76.43,SFH,OO,1
32254,1469146557,720,WI,53024,232779.07,0.02625,1587.55,0.0,C,180,09/22/2020,177,0.0,347000,67.08,SFH,OO,1
25403,1466820360,720,OH,45140,188330.79,0.0325,826.46,53.81,C,360,08/17/2020,355,0.0,211000,89.26,SFH,OO,1
24487,1466808225,720,NC,28075,195839.13,0.025,783.13,0.0,C,360,08/11/2020,355,0.0,300000,65.28,SFH,OO,1
6318,1463429488,720,VA,24090,231161.46,0.0275,1635.48,0.0,C,180,03/27/2020,171,0.0,402000,57.5,SFH,OO,1
40647,1469248908,720,WA,98292,335318.76,0.02875,1396.11,0.0,C,360,10/22/2020,358,0.0,460000,72.9,SFH,OO,1
27728,1469085912,720,NJ,7438,178860.65,0.0225,1741.67,0.0,C,120,08/28/2020,116,0.0,285000,62.76,SFH,OO,1
30082,1469120198,720,CA,94531,298315.41,0.025,1185.36,0.0,C,360,09/08/2020,357,0.0,435000,68.58,SFH,OO,1
5265,1449012655,720,TN,37312,142875.45,0.0399,691.42,0.0,C,360,02/19/2020,350,0.0,200000,71.44,SFH,OO,1
13742,1466657481,720,NH,3833,333086.44,0.0325,1644.69,0.0,C,300,06/02/2020,294,0.0,500000,66.62,SFH,OO,1
17566,1466711213,720,VA,22015,308687.38,0.0275,1711.35,0.0,C,240,06/29/2020,233,0.0,465000,66.38,SFH,OO,1
15925,1466688130,720,CA,92647,596452.45,0.02375,4226.69,0.0,C,180,06/18/2020,164,0.0,925000,64.48,SFH,OO,1
39139,1469231540,720,NC,28277,295585.22,0.0225,1965.25,0.0,C,180,10/15/2020,177,0.0,500000,59.12,SFH,OO,1
35196,1469182446,720,WA,98021,444909.72,0.025,1782.19,0.0,C,360,09/30/2020,351,0.0,1000000,44.49,SFH,OO,1
